,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds
191,191,2023-11-06T12:00:00Z,Brooklyn Nets vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-218,0.6855345911949685,180
192,192,2023-11-06T12:00:00Z,New York Knicks vs Los Angeles Clippers,draftkings,Los Angeles Clippers,-130,0.5652173913043478,110
193,193,2023-11-06T12:00:00Z,New York Knicks vs Los Angeles Clippers,draftkings,New York Knicks,110,0.47619047619047616,-130
194,194,2023-11-06T12:00:00Z,Miami Heat vs Los Angeles Lakers,draftkings,Los Angeles Lakers,-102,0.504950495049505,-118
195,195,2023-11-06T12:00:00Z,Miami Heat vs Los Angeles Lakers,draftkings,Miami Heat,-118,0.5412844036697247,-102
196,196,2023-11-06T12:00:00Z,Oklahoma City Thunder vs Atlanta Hawks,draftkings,Atlanta Hawks,-166,0.6240601503759399,140
197,197,2023-11-06T12:00:00Z,Oklahoma City Thunder vs Atlanta Hawks,draftkings,Oklahoma City Thunder,140,0.4166666666666667,-166
198,198,2023-11-06T12:00:00Z,Minnesota Timberwolves vs Boston Celtics,draftkings,Boston Celtics,-170,0.6296296296296297,142
199,199,2023-11-06T12:00:00Z,Minnesota Timberwolves vs Boston Celtics,draftkings,Minnesota Timberwolves,142,0.4132231404958678,-170
200,200,2023-11-06T12:00:00Z,Chicago Bulls vs Utah Jazz,draftkings,Chicago Bulls,-175,0.6363636363636364,145
201,201,2023-11-06T12:00:00Z,Chicago Bulls vs Utah Jazz,draftkings,Utah Jazz,145,0.40816326530612246,-175
